OP_UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_PAX_ENP_110
04Q,Tradewind Aviation,13535,K,20,105
04Q,Tradewind Aviation,15024,K,9,38
04Q,Tradewind Aviation,13987,K,1,2
04Q,Tradewind Aviation,14843,K,626,3553
04Q,Tradewind Aviation,12197,K,21,109
04Q,Tradewind Aviation,10257,V,2,4
04Q,Tradewind Aviation,10874,V,1,1
04Q,Tradewind Aviation,10647,V,1,1
04Q,Tradewind Aviation,10577,V,1,3
04Q,Tradewind Aviation,10397,V,2,6
04Q,Tradewind Aviation,15030,V,1,3
04Q,Tradewind Aviation,10158,V,1,4
04Q,Tradewind Aviation,15041,V,1,3
04Q,Tradewind Aviation,10821,V,1,1
04Q,Tradewind Aviation,11641,V,1,2
04Q,Tradewind Aviation,10670,V,1,3
04Q,Tradewind Aviation,12397,V,2,7
04Q,Tradewind Aviation,10721,V,6,19
04Q,Tradewind Aviation,12108,V,1,8
04Q,Tradewind Aviation,10792,V,3,15
04Q,Tradewind Aviation,15628,V,1,1
04Q,Tradewind Aviation,12323,V,1,2
04Q,Tradewind Aviation,10171,V,1,4
04Q,Tradewind Aviation,13535,V,3,14
04Q,Tradewind Aviation,15024,V,4,11
04Q,Tradewind Aviation,10198,V,1,4
04Q,Tradewind Aviation,13731,V,3,5
04Q,Tradewind Aviation,13232,V,1,1
04Q,Tradewind Aviation,13984,V,1,4
04Q,Tradewind Aviation,15027,V,2,9
04Q,Tradewind Aviation,11042,V,1,1
04Q,Tradewind Aviation,14275,V,2,5
04Q,Tradewind Aviation,14255,V,1,7
04Q,Tradewind Aviation,12250,V,1,2
04Q,Tradewind Aviation,14488,V,1,2
04Q,Tradewind Aviation,11259,V,1,2
04Q,Tradewind Aviation,15427,V,2,8
04Q,Tradewind Aviation,12119,V,3,6
04Q,Tradewind Aviation,11503,V,2,3
04Q,Tradewind Aviation,14635,V,1,2
04Q,Tradewind Aviation,11615,V,2,2
04Q,Tradewind Aviation,10557,V,1,2
04Q,Tradewind Aviation,10374,V,1,1
04Q,Tradewind Aviation,11986,V,1,4
04Q,Tradewind Aviation,10529,V,1,4
04Q,Tradewind Aviation,14182,V,1,1
04Q,Tradewind Aviation,12391,V,1,8
04Q,Tradewind Aviation,14730,V,1,1
04Q,Tradewind Aviation,15356,V,1,3
04Q,Tradewind Aviation,13303,V,1,2
04Q,Tradewind Aviation,13463,V,1,3
04Q,Tradewind Aviation,11790,V,1,4
04Q,Tradewind Aviation,15070,V,1,4
04Q,Tradewind Aviation,10965,V,1,1
04Q,Tradewind Aviation,12478,V,1,1
04Q,Tradewind Aviation,14769,V,1,4
04Q,Tradewind Aviation,13505,V,1,8
04Q,Tradewind Aviation,13931,V,1,2
04Q,Tradewind Aviation,13861,V,1,7
04Q,Tradewind Aviation,14100,V,1,1
04Q,Tradewind Aviation,14122,V,2,5
04Q,Tradewind Aviation,14307,V,2,4
04Q,Tradewind Aviation,12348,V,1,2
04Q,Tradewind Aviation,14524,V,1,2
04Q,Tradewind Aviation,14576,V,1,3
04Q,Tradewind Aviation,15016,V,1,1
04Q,Tradewind Aviation,13125,V,2,13
04Q,Tradewind Aviation,13987,V,2,7
04Q,Tradewind Aviation,14843,V,139,640
04Q,Tradewind Aviation,12899,V,1,3
04Q,Tradewind Aviation,11775,V,1,3
04Q,Tradewind Aviation,12264,V,4,11
04Q,Tradewind Aviation,14027,V,6,13
04Q,Tradewind Aviation,12197,V,58,146
04Q,Tradewind Aviation,16091,V,1,3
04Q,Tradewind Aviation,10329,V,1,1
04Q,Tradewind Aviation,11456,V,2,8
04Q,Tradewind Aviation,12278,V,1,3
04Q,Tradewind Aviation,11764,V,9,36
04Q,Tradewind Aviation,10423,V,1,1
04Q,Tradewind Aviation,15167,V,45,118
04Q,Tradewind Aviation,10927,V,2,5
04Q,Tradewind Aviation,14259,V,2,9
04Q,Tradewind Aviation,14539,V,1,1
04Q,Tradewind Aviation,14802,V,1,1
04Q,Tradewind Aviation,15043,V,1,4
04Q,Tradewind Aviation,13008,V,1,6
04Q,Tradewind Aviation,13541,V,3,7
04Q,Tradewind Aviation,10154,V,6,12
04Q,Tradewind Aviation,11612,V,1,7
04Q,Tradewind Aviation,14875,V,1,5
04Q,Tradewind Aviation,11650,V,1,3
04Q,Tradewind Aviation,16525,V,1,3
04Q,Tradewind Aviation,10785,V,4,17
04Q,Tradewind Aviation,12153,V,1,4
04Q,Tradewind Aviation,15382,V,1,4
04Q,Tradewind Aviation,14711,V,1,8
04Q,Tradewind Aviation,10472,V,2,6
04Q,Tradewind Aviation,13184,V,1,2
04Q,Tradewind Aviation,12244,V,1,1
04Q,Tradewind Aviation,16883,V,1,3
04Q,Tradewind Aviation,10990,V,2,7
04Q,Tradewind Aviation,13898,V,1,3
04Q,Tradewind Aviation,12587,V,2,7
04Q,Tradewind Aviation,10419,V,1,1
04Q,Tradewind Aviation,10348,V,1,1
04Q,Tradewind Aviation,10540,V,23,62
04Q,Tradewind Aviation,12265,V,1,4
04Q,Tradewind Aviation,12124,V,1,4
04Q,Tradewind Aviation,12932,V,2,6
04Q,Tradewind Aviation,12884,V,1,2
04Q,Tradewind Aviation,10945,V,1,3
04Q,Tradewind Aviation,10519,V,3,10
04Q,Tradewind Aviation,13105,V,1,1
04Q,Tradewind Aviation,12222,V,1,2
04Q,Tradewind Aviation,13685,V,1,4
04Q,Tradewind Aviation,13398,V,5,22
04Q,Tradewind Aviation,15380,V,1,2
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10136,V,2,144
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10257,V,4,232
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10874,V,3,177
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10140,V,8,267
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10279,V,2,142
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10397,V,9,386
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15323,V,4,133
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10158,V,76,5147
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11146,V,2,126
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10821,V,20,461
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10781,V,35,740
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11641,V,4,288
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10620,V,4,293
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15374,V,4,85
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14574,V,7,208
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10721,V,6,311
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10792,V,13,597
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15295,V,13,246
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10800,V,4,224
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12323,V,6,234
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10994,V,6,152
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11027,V,24,768
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11057,V,7,426
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15024,V,2,55
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13232,V,12,361
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13930,V,14,352
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,V,32,1015
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10683,V,1,45
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11042,V,6,351
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11109,V,1,0
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10868,V,13,268
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,V,31,1100
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11298,V,8,434
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11259,V,51,2789
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11267,V,12,411
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11292,V,23,599
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11423,V,6,360
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11433,V,11,487
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11540,V,68,5152
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10408,V,2,147
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11697,V,15,376
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11865,V,2,112
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13424,V,2,110
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14635,V,16,831
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11638,V,4,292
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11203,V,2,137
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12003,V,4,214
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,V,56,1117
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13230,V,14,208
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,V,26,656
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12266,V,24,2209
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12191,V,9,258
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12339,V,29,904
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14262,V,2,24
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12448,V,2,15
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12451,V,4,211
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13198,V,12,187
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11067,V,24,539
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12889,V,24,560
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13192,V,1,8
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12954,V,10,487
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14853,V,3,29
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11905,V,2,145
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12892,V,6,172
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14730,V,32,987
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12896,V,28,994
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15356,V,3,53
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13341,V,8,495
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13485,V,9,489
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13244,V,53,1696
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,V,1289,108565
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13342,V,10,620
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13487,V,29,715
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13256,V,4,239
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10693,V,70,1771
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13495,V,8,168
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,V,179,6797
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13344,V,2,98
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11618,V,57,1438
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12007,V,6,118
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13931,V,5,152
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11834,V,28,646
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13796,V,23,1399
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15919,V,6,165
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13851,V,12,475
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13871,V,28,554
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13891,V,5,116
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11953,V,12,349
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13204,V,5,694
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13795,V,2,62
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12891,V,2,119
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14100,V,42,1006
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14107,V,11,381
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13203,V,2,57
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14122,V,27,848
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14057,V,8,463
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14307,V,12,310
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14492,V,48,1395
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12348,V,5,112
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,V,5,406
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14524,V,20,579
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14842,V,2,141
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14633,V,2,117
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14576,V,4,104
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14893,V,4,170
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10666,V,8,654
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15016,V,22,512
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14869,V,4,56
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,V,23,1213
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14679,V,22,1014
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12055,V,13,188
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11980,V,2,138
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14831,V,5,209
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14843,V,33,336
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12899,V,4,287
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14747,V,8,300
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14487,V,2,63
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11775,V,2,133
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14905,V,4,130
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13061,V,19,608
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15096,V,42,1230
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15304,V,55,3932
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11726,V,15,440
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14761,V,8,277
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15376,V,6,307
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15370,V,7,218
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10779,V,2,146
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10155,V,15,711
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12264,V,11,264
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14027,V,4,194
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12197,V,14,341
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",16091,V,12,154
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12278,V,18,776
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11764,V,21,496
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15570,V,10,151
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14960,V,2,100
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14092,V,15,600
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,V,20,784
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11563,V,91,10824
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11140,V,6,437
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14259,V,13,197
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11996,V,17,520
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13360,V,1,0
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13158,V,6,375
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14288,V,2,138
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13700,V,11,362
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10216,V,6,138
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14696,V,16,588
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11884,V,8,374
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15249,V,36,1020
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14112,V,4,178
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11337,V,2,129
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10559,V,1,0
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10713,V,5,241
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14698,V,1,58
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13029,V,12,353
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",16101,V,15,343
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11003,V,8,226
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15412,V,11,482
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14457,V,2,146
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12223,V,2,97
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11111,V,21,527
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14321,V,2,65
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14252,V,4,219
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,V,59,4489
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11603,V,2,143
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13296,V,5,89
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10933,V,4,91
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13264,V,3,114
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14711,V,4,80
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13476,V,4,219
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,V,161,7079
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11233,V,5,252
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11977,V,2,146
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10990,V,21,520
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10558,V,4,261
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11789,V,8,330
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13898,V,4,152
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13273,V,15,159
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10747,V,149,6519
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13290,V,2,116
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13577,V,6,419
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11049,V,14,429
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12206,V,4,264
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10208,V,2,134
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10540,V,39,969
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10849,V,14,522
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11122,V,4,286
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11123,V,5,225
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10980,V,4,166
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12156,V,2,46
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12945,V,4,107
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13486,V,2,143
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11150,V,15,401
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12280,V,2,134
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10627,V,4,264
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11471,V,2,149
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11637,V,2,148
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11898,V,4,84
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12898,V,5,277
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11973,V,25,1944
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13076,V,2,148
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12884,V,2,32
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13433,V,2,139
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15153,V,18,440
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14543,V,2,138
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15620,V,1,3
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15380,V,2,125
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15074,V,4,113
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",16869,V,2,57
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",14107,V,1,151
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13891,V,1,224
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",10781,V,1,92
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",12264,V,1,92
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13303,K,26,4204
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",12478,K,11,568
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13303,V,2,425
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",15412,V,1,141
1EQ,"KaiserAir, Inc.",12758,V,29,1009
1EQ,"KaiserAir, Inc.",14831,V,3,127
1EQ,"KaiserAir, Inc.",13303,V,2,106
1EQ,"KaiserAir, Inc.",13796,V,29,713
1EQ,"KaiserAir, Inc.",14122,V,1,48
1EQ,"KaiserAir, Inc.",12892,V,1,70
1EQ,"KaiserAir, Inc.",12264,V,1,48
1EQ,"KaiserAir, Inc.",11433,V,1,48
1EQ,"KaiserAir, Inc.",11123,V,3,134
1EQ,"KaiserAir, Inc.",13232,V,2,86
1EQ,"KaiserAir, Inc.",11066,V,1,48
1EQ,"KaiserAir, Inc.",11697,V,1,19
1EQ,"KaiserAir, Inc.",14107,V,1,45
1QQ,City Wings Inc dba Seaflight,15024,K,205,995
1QQ,City Wings Inc dba Seaflight,15027,K,205,1344
1SQ,Star Marianas Air Inc.,14582,V,379,436
1SQ,Star Marianas Air Inc.,15215,V,50,143
1SQ,Star Marianas Air Inc.,12016,K,99,548
1SQ,Star Marianas Air Inc.,12016,V,122,40
1SQ,Star Marianas Air Inc.,15215,K,2202,7416
1SQ,Star Marianas Air Inc.,14582,K,371,2036
1SQ,Star Marianas Air Inc.,14955,K,2552,8995
1SQ,Star Marianas Air Inc.,14955,V,333,554
1TQ,Rhoades Aviation dba Transair,13830,V,461,0
1TQ,Rhoades Aviation dba Transair,12982,V,33,0
1TQ,Rhoades Aviation dba Transair,12402,V,255,0
1TQ,Rhoades Aviation dba Transair,12173,V,780,0
1TQ,Rhoades Aviation dba Transair,12758,V,63,0
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle,14050,V,141,2119
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle,11764,V,64,1183
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle,11057,V,130,1767
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle,13105,V,243,4778
