OP_UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_PAX_ENP_110
5Y,Atlas Air Inc.,14107,V,70,0
5Y,Atlas Air Inc.,14057,V,183,0
5Y,Atlas Air Inc.,14492,V,1,51
5Y,Atlas Air Inc.,14524,V,1,0
5Y,Atlas Air Inc.,14576,V,1,0
5Y,Atlas Air Inc.,14512,V,101,0
5Y,Atlas Air Inc.,15016,V,74,112
5Y,Atlas Air Inc.,14869,V,6,0
5Y,Atlas Air Inc.,14771,V,31,0
5Y,Atlas Air Inc.,14831,V,3,390
5Y,Atlas Air Inc.,14747,V,37,159
5Y,Atlas Air Inc.,15304,V,185,0
5Y,Atlas Air Inc.,15376,V,1,0
5Y,Atlas Air Inc.,13587,V,7,0
5Y,Atlas Air Inc.,13788,V,4,0
5Y,Atlas Air Inc.,15370,V,8,0
5Y,Atlas Air Inc.,12264,V,2,0
5Y,Atlas Air Inc.,12917,V,2,0
5Y,Atlas Air Inc.,10299,V,599,1268
5Y,Atlas Air Inc.,10423,V,65,0
5Y,Atlas Air Inc.,11982,V,28,946
5Y,Atlas Air Inc.,14259,V,33,2267
5Y,Atlas Air Inc.,13700,V,1,0
5Y,Atlas Air Inc.,15422,V,20,199
5Y,Atlas Air Inc.,10581,V,1,0
5Y,Atlas Air Inc.,10713,V,1,0
5Y,Atlas Air Inc.,11003,V,6,0
5Y,Atlas Air Inc.,15045,V,26,0
5Y,Atlas Air Inc.,13662,V,3,170
5Y,Atlas Air Inc.,15057,V,8,694
5Y,Atlas Air Inc.,10135,V,1,0
5Y,Atlas Air Inc.,11487,V,4,0
5Y,Atlas Air Inc.,10562,V,2,195
5Y,Atlas Air Inc.,13697,V,3,186
5Y,Atlas Air Inc.,12187,V,2,356
5Y,Atlas Air Inc.,13772,V,1,0
5Y,Atlas Air Inc.,10615,V,5,469
5Y,Atlas Air Inc.,13087,V,2,0
5Y,Atlas Air Inc.,12206,V,2,0
5Y,Atlas Air Inc.,12947,V,7,348
5Y,Atlas Air Inc.,10540,V,2,50
5Y,Atlas Air Inc.,15550,V,5,360
5Y,Atlas Air Inc.,14706,V,2,0
5Y,Atlas Air Inc.,15108,V,1,0
5Y,Atlas Air Inc.,10172,V,5,290
5Y,Atlas Air Inc.,12263,V,30,0
5Y,Atlas Air Inc.,14004,V,109,0
5Y,Atlas Air Inc.,11973,V,7,433
5Y,Atlas Air Inc.,12016,V,2,0
5Y,Atlas Air Inc.,15154,V,2,54
5Y,Atlas Air Inc.,15624,V,3,335
5Y,Atlas Air Inc.,14877,V,9,1809
5Y,Atlas Air Inc.,14618,V,5,57
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",15579,K,62,823
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",10551,K,22,149
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",10917,K,44,22
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",11336,K,39,87
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",11445,K,143,1894
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",10245,K,86,35
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",14919,K,24,112
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",14738,K,1,7
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",14709,K,15,60
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",10170,K,64,884
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",13970,K,10,53
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",10304,K,59,727
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",15478,K,54,962
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",11859,K,1,
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",13196,K,22,181
